CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,DOORING_I,MOST_SEVERE_INJURY,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
8/1/2018 17:45,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,5500,N,BROADWAY,,NONINCAPACITATING INJURY,0,0,1,17,4,8,41.98188733,-87.66016741
08/17/2019 04:20:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,Y,UNABLE TO DETERMINE,649,N,ASHLAND AVE,,NO INDICATION OF INJURY,0,0,0,16,7,8,41.89389741,-87.66707936
12/20/2017 05:44:00 PM,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,NOT APPLICABLE,1034,W,VAN BUREN ST,,NO INDICATION OF INJURY,0,0,0,17,4,12,41.87668906,-87.65332657
08/23/2018 06:12:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1559,N,MILWAUKEE AVE,Y,NONINCAPACITATING INJURY,0,0,1,18,5,8,41.90992611,-87.67653436
06/23/2022 09:41:00 PM,35,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2719,N,CENTRAL AVE,Y,NONINCAPACITATING INJURY,0,0,1,21,5,6,41.93002894,-87.76605481
12/30/2022 08:00:00 PM,30,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,5217,N,CLARK ST,,NO INDICATION OF INJURY,0,0,0,20,6,12,41.97678147,-87.66825463
06/22/2022 05:46:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,"FIVE POINT, OR MORE",DRY,INJURY AND / OR TOW DUE TO CRASH,,DISREGARDING TRAFFIC SIGNALS,511,N,HALSTED ST,,NONINCAPACITATING INJURY,0,0,1,17,4,6,41.89155902,-87.64747981
09/24/2021 12:22:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,DRIVING ON WRONG SIDE/WRONG WAY,2323,S,DAMEN AVE,,INCAPACITATING INJURY,0,1,0,12,6,9,41.84967396,-87.67562886
12/24/2019 08:30:00 AM,30,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,405,N,ORLEANS ST,,NO INDICATION OF INJURY,0,0,0,8,3,12,41.88932451,-87.63659457
05/23/2019 04:20:00 PM,20,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1444,W,111TH ST,,INCAPACITATING INJURY,0,1,0,16,5,5,41.69227103,-87.65865516
08/27/2022 03:00:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,NOT DIVIDED,UNKNOWN,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,2435,N,HALSTED ST,,NO INDICATION OF INJURY,0,0,0,15,7,8,41.92643591,-87.64864842
07/24/2019 10:30:00 PM,15,STOP SIGN/FLASHER,CLEAR,DUSK,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1855,N,KEELER AVE,,NO INDICATION OF INJURY,0,0,0,22,4,7,41.91508822,-87.73122516
7/2/2021 19:10,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,4858,S,WOOD ST,,NONINCAPACITATING INJURY,0,0,1,19,6,7,41.80500634,-87.66988456
10/14/2018 04:25:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,IMPROPER OVERTAKING/PASSING,137,S,STATE ST,,INCAPACITATING INJURY,0,1,0,16,1,10,41.8797802,-87.62757082
7/9/2017 12:03,15,NO CONTROLS,CLEAR,DAYLIGHT,ALLEY,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,3900,W,57TH ST,,INCAPACITATING INJURY,0,1,0,12,1,7,41.78972319,-87.72073447
09/25/2023 07:30:00 AM,30,UNKNOWN,RAIN,DAYLIGHT,ONE-WAY,WET,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,3100,N,CLYBOURN AVE,,"REPORTED, NOT EVIDENT",0,0,0,7,2,9,41.93767685,-87.68580183
5/12/2021 17:50,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,NOT APPLICABLE,1644,N,HALSTED ST,,NO INDICATION OF INJURY,0,0,0,17,4,5,41.91220517,-87.64845863
08/26/2020 04:00:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,Y,FAILING TO YIELD RIGHT-OF-WAY,2730,N,SAYRE AVE,,NO INDICATION OF INJURY,0,0,0,16,4,8,41.92993584,-87.80109616
11/30/2022 08:10:00 AM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,,FOLLOWING TOO CLOSELY,200,W,WACKER DR,,NO INDICATION OF INJURY,0,0,0,8,4,11,41.88704088,-87.63404251
03/16/2023 06:30:00 PM,30,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,,IMPROPER LANE USAGE,2350,N,LINCOLN AVE,Y,NO INDICATION OF INJURY,0,0,0,18,5,3,41.9246991,-87.64792903
6/6/2020 21:49,30,STOP SIGN/FLASHER,CLEAR,DARKNESS,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,199,E,76TH ST,,NONINCAPACITATING INJURY,0,0,1,21,7,6,41.75638713,-87.6199659
7/11/2023 9:44,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,DRIVING ON WRONG SIDE/WRONG WAY,3900,S,ASHLAND AVE,,NONINCAPACITATING INJURY,0,0,1,9,3,7,41.82302766,-87.66574403
7/3/2020 14:29,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,11500,S,UNION AVE,,NONINCAPACITATING INJURY,0,0,1,14,6,7,41.68504579,-87.6405634
07/17/2020 03:00:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,2515,W,LAWRENCE AVE,,NONINCAPACITATING INJURY,0,0,1,15,6,7,41.96847694,-87.69195777
08/21/2019 07:20:00 PM,10,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,4830,N,PULASKI RD,,NO INDICATION OF INJURY,0,0,0,19,4,8,41.9691923,-87.72820341
10/13/2017 09:30:00 PM,30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,723,N,LA SALLE DR,N,NONINCAPACITATING INJURY,0,0,1,21,6,10,41.89557507,-87.63254328
4/7/2021 20:05,35,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1018,W,ARMITAGE AVE,Y,NO INDICATION OF INJURY,0,0,0,20,4,4,41.91820263,-87.65417709
02/21/2023 06:17:00 PM,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DRIVEWAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,IMPROPER TURNING/NO SIGNAL,340,E,RANDOLPH ST,,NONINCAPACITATING INJURY,0,0,1,18,3,2,41.88462477,-87.61925432
7/12/2019 15:31,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,920,W,LAWRENCE AVE,,NONINCAPACITATING INJURY,0,0,1,15,6,7,41.96921875,-87.65333829
10/16/2019 05:40:00 PM,15,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,6240,S,ST LAWRENCE AVE,N,NONINCAPACITATING INJURY,0,0,2,17,4,10,41.78092271,-87.61096214
8/3/2020 12:30,35,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,IMPROPER OVERTAKING/PASSING,3549,N,DAMEN AVE,,NO INDICATION OF INJURY,0,0,0,12,2,8,41.94649943,-87.67839677
6/7/2023 16:15,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,DISREGARDING STOP SIGN,11800,S,MICHIGAN AVE,,NONINCAPACITATING INJURY,0,0,2,16,4,6,41.67983059,-87.62071403
07/31/2020 06:13:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,L-INTERSECTION,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1030,E,73RD ST,,NO INDICATION OF INJURY,0,0,0,18,6,7,41.76240757,-87.59945512
04/24/2023 04:10:00 PM,30,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1440,N,MILWAUKEE AVE,,NONINCAPACITATING INJURY,0,0,1,16,2,4,41.90798057,-87.67394517
07/27/2021 05:38:00 PM,25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,DISREGARDING STOP SIGN,2232,W,PRATT BLVD,,INCAPACITATING INJURY,0,1,0,17,3,7,42.00518701,-87.68720587
1/11/2017 18:50,30,STOP SIGN/FLASHER,RAIN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO INJURY / DRIVE AWAY,,WEATHER,600,W,MADISON ST,,NO INDICATION OF INJURY,0,0,0,18,4,1,41.88194657,-87.64273637
5/12/2019 11:05,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,NOT APPLICABLE,6117,S,ELLIS AVE,Y,NONINCAPACITATING INJURY,0,0,1,11,1,5,41.78356538,-87.60098864
08/19/2022 03:20:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2392,N,MILWAUKEE AVE,Y,NONINCAPACITATING INJURY,0,0,1,15,6,8,41.9246468,-87.7004206
3/12/2016 20:30,30,LANE USE MARKING,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,2447,N,CLARK ST,Y,NO INDICATION OF INJURY,0,0,0,20,7,3,41.926901,-87.64111148
07/19/2021 02:00:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,500,N,RUSH ST,,NO INDICATION OF INJURY,0,0,0,14,2,7,41.89094985,-87.62549617
5/12/2022 17:30,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,OTHER,DRY,NO INJURY / DRIVE AWAY,Y,FOLLOWING TOO CLOSELY,654,W,LAWRENCE DR,,NO INDICATION OF INJURY,0,0,0,17,5,5,41.96949473,-87.64794721
07/18/2023 03:30:00 PM,20,NO CONTROLS,CLEAR,DAYLIGHT,OTHER,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,10000,S,STATE ST,,NONINCAPACITATING INJURY,0,0,1,15,3,7,41.71257884,-87.62377683
06/28/2021 03:30:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,2400,W,JARVIS AVE,Y,NONINCAPACITATING INJURY,0,0,1,15,2,6,42.01601396,-87.69033568
08/14/2021 09:00:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,4759,W,LAKE ST,,"REPORTED, NOT EVIDENT",0,0,0,9,7,8,41.88650199,-87.74540075
09/24/2017 01:51:00 AM,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),3800,W,LAWRENCE AVE,Y,NO INDICATION OF INJURY,0,0,0,1,1,9,41.96840336,-87.72320711
5/9/2022 19:44,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,780,N,MILWAUKEE AVE,,INCAPACITATING INJURY,0,1,0,19,2,5,41.89579624,-87.6549536
08/31/2023 05:40:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,652,N,MILWAUKEE AVE,,NONINCAPACITATING INJURY,0,0,1,17,5,8,41.89322274,-87.65096001
12/19/2018 04:10:00 PM,30,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,IMPROPER LANE USAGE,802,W,DIVISION ST,,NONINCAPACITATING INJURY,0,0,1,16,4,12,41.90374556,-87.64816701
10/29/2022 07:20:00 PM,25,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,IMPROPER OVERTAKING/PASSING,2409,N,LARAMIE AVE,,INCAPACITATING INJURY,0,1,0,19,7,10,41.92440236,-87.75600929
03/13/2020 04:20:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,NOT APPLICABLE,3401,S,CALIFORNIA AVE,,NO INDICATION OF INJURY,0,0,0,16,6,3,41.8321338,-87.69472806
06/14/2019 09:28:00 PM,35,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),WET,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,399,E,99TH PL,,NONINCAPACITATING INJURY,0,0,1,21,6,6,41.7139552,-87.6140179
11/16/2016 02:30:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,3001,W,LAWRENCE AVE,Y,NONINCAPACITATING INJURY,0,0,1,14,4,11,41.96838417,-87.703664
07/27/2020 08:36:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAWN,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,DISREGARDING STOP SIGN,9500,S,STONY ISLAND AVE,,NONINCAPACITATING INJURY,0,0,1,20,2,7,41.72225727,-87.58527557
04/28/2017 04:50:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,FAILING TO YIELD RIGHT-OF-WAY,2558,N,AUSTIN AVE,,NO INDICATION OF INJURY,0,0,0,16,6,4,41.92738971,-87.775985
09/19/2019 06:10:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2531,N,CALIFORNIA AVE,Y,"REPORTED, NOT EVIDENT",0,0,0,18,5,9,41.92750452,-87.69734265
10/5/2018 22:00,30,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,,WEATHER,4890,N,BROADWAY,,NO INDICATION OF INJURY,0,0,0,22,6,10,41.9713947,-87.6598814
7/1/2023 12:40,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1869,N,MILWAUKEE AVE,Y,NONINCAPACITATING INJURY,0,0,1,12,7,7,41.915458,-87.68508748
11/18/2018 06:28:00 PM,30,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,Y,UNABLE TO DETERMINE,2232,W,IRVING PARK RD,Y,NO INDICATION OF INJURY,0,0,0,18,1,11,41.95417556,-87.68489198
09/23/2017 04:30:00 PM,25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,IMPROPER TURNING/NO SIGNAL,1101,W,LAWRENCE AVE,,NONINCAPACITATING INJURY,0,0,1,16,7,9,41.96894191,-87.65766136
07/20/2019 05:50:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,Y-INTERSECTION,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,6201,N,MC CORMICK RD,,NONINCAPACITATING INJURY,0,0,1,17,7,7,41.99454312,-87.7138932
5/2/2020 22:13,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,5549,W,ADDISON ST,,NONINCAPACITATING INJURY,0,0,1,22,7,5,41.9457722,-87.76629798
11/20/2017 05:27:00 PM,30,UNKNOWN,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,759,N,MILWAUKEE AVE,,NONINCAPACITATING INJURY,0,0,1,17,2,11,41.89564245,-87.65426297
9/3/2021 17:30,25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,7200,N,WASHTENAW AVE,Y,NONINCAPACITATING INJURY,0,0,1,17,6,9,42.01216921,-87.69749786
06/27/2023 04:10:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,4342,W,NORTH AVE,Y,NONINCAPACITATING INJURY,0,0,1,16,3,6,41.90987886,-87.73532452
9/5/2022 11:30,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,420,W,FULLERTON PKWY,,NONINCAPACITATING INJURY,0,0,1,11,2,9,41.92570134,-87.64000503
06/18/2022 07:12:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,772,N,OGDEN AVE,,"REPORTED, NOT EVIDENT",0,0,0,19,7,6,41.89606449,-87.65497591
6/4/2021 17:02,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1400,W,VAN BUREN ST,,NONINCAPACITATING INJURY,0,0,1,17,6,6,41.87654526,-87.66197843
03/28/2018 08:20:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,2108,W,FULTON ST,,NONINCAPACITATING INJURY,0,0,1,8,4,3,41.88683892,-87.67966418
5/2/2022 12:30,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,4550,N,BROADWAY,,NONINCAPACITATING INJURY,0,0,1,12,2,5,41.96494621,-87.65734707
06/15/2018 05:52:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,OTHER,DRY,NO INJURY / DRIVE AWAY,,FAILING TO YIELD RIGHT-OF-WAY,5261,W,63RD ST,,NO INDICATION OF INJURY,0,0,0,17,6,6,41.77808844,-87.75422307
08/31/2022 05:25:00 PM,25,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,FAILING TO YIELD RIGHT-OF-WAY,3500,W,63RD ST,Y,NO INDICATION OF INJURY,0,0,0,17,4,8,41.7789616,-87.71052895
06/19/2018 12:05:00 PM,25,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,NOT APPLICABLE,3241,S,HALSTED ST,Y,"REPORTED, NOT EVIDENT",0,0,0,12,3,6,41.83506479,-87.64605849
03/28/2023 09:15:00 AM,15,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ALLEY,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,2343,S,CALIFORNIA AVE,,"REPORTED, NOT EVIDENT",0,0,0,9,3,3,41.84881483,-87.69521353
11/12/2020 12:05,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1546,N,CENTRAL AVE,,NO INDICATION OF INJURY,0,0,0,12,5,11,41.90897892,-87.76600936
06/24/2017 12:15:00 PM,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,N,FAILING TO YIELD RIGHT-OF-WAY,7232,W,BYRON ST,,NONINCAPACITATING INJURY,0,0,1,12,7,6,41.95080371,-87.80847105
08/13/2021 07:30:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,DISREGARDING TRAFFIC SIGNALS,1800,S,ASHLAND AVE,,NONINCAPACITATING INJURY,0,0,1,19,6,8,41.85774877,-87.66628522
07/26/2019 09:30:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1600,N,CALIFORNIA AVE,,NO INDICATION OF INJURY,0,0,0,21,6,7,41.91031515,-87.69717472
06/29/2017 06:28:00 PM,30,NO CONTROLS,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),WET,INJURY AND / OR TOW DUE TO CRASH,Y,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",6736,N,SHERIDAN RD,,NONINCAPACITATING INJURY,0,0,1,18,5,6,42.00466022,-87.66100082
3/8/2020 15:45,30,NO CONTROLS,CLEAR,DAYLIGHT,CENTER TURN LANE,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FOLLOWING TOO CLOSELY,3597,N,KIMBALL AVE,,"REPORTED, NOT EVIDENT",0,0,0,15,1,3,41.9464809,-87.71256323
07/27/2023 06:43:00 PM,30,OTHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,4903,N,ELSTON AVE,,NONINCAPACITATING INJURY,0,0,1,18,5,7,41.96975089,-87.74259704
10/22/2023 04:40:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAWN,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,503,W,KINZIE ST,,NONINCAPACITATING INJURY,0,0,1,16,1,10,41.88893826,-87.63998702
11/9/2018 8:07,30,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO INJURY / DRIVE AWAY,Y,UNABLE TO DETERMINE,1345,N,PULASKI RD,,NO INDICATION OF INJURY,0,0,0,8,6,11,41.90579384,-87.72625114
04/18/2018 06:37:00 PM,30,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,DISREGARDING STOP SIGN,5701,W,FULLERTON AVE,,NONINCAPACITATING INJURY,0,0,1,18,4,4,41.92383167,-87.76847884
06/13/2021 02:40:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,3899,N,BROADWAY,,NO INDICATION OF INJURY,0,0,0,14,1,6,41.9526728,-87.64950411
09/28/2022 08:03:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2205,W,JACKSON BLVD,,INCAPACITATING INJURY,0,1,0,8,4,9,41.87749538,-87.6816554
8/10/2018 9:45,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2449,W,LAWRENCE AVE,,"REPORTED, NOT EVIDENT",0,0,0,9,6,8,41.96848652,-87.69084636
05/16/2019 08:22:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,Y,FAILING TO YIELD RIGHT-OF-WAY,1600,N,LAKE SHORE DR,,NO INDICATION OF INJURY,0,0,0,8,5,5,41.91122456,-87.62648257
8/6/2020 16:36,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,,FAILING TO YIELD RIGHT-OF-WAY,7059,S,SOUTH SHORE DR,,NO INDICATION OF INJURY,0,0,0,16,5,8,41.76660302,-87.56632372
